name,age,country,Ovr,BAT Ovr,Bowl Ovr,B-IQ,Tech,PWR,RUN,ECON,WKT,ACC,CLTH
Tom Banton,23,England,81,80,34,76,85,81,72,29,31,40,64
Mohammad Nabi,37,Afghanistan,91,74,85,69,72,81,60,79,84,97,98
Jason Holder,30,West Indies,90,71,85,62,68,81,67,81,85,100,84
Daniel Sams,29,Australia,86,68,79,55,68,81,60,72,77,99,93
Tim Southee,33,New Zealand,89,69,84,53,70,81,68,80,86,72,99
Matt Henry,30,New Zealand,82,65,75,47,66,81,62,70,73,80,97
T Pradeep,27,India,71,64,59,46,68,81,30,60,54,95,34
Usman Shinwari,28,Pakistan,80,60,75,44,57,81,33,79,85,36,61
Lekhaz Reddy,20,India,58,57,27,35,59,81,14,28,28,5,36
Abbas Afridi,20,Pakistan,75,57,69,34,59,81,19,65,65,74,94
KL Rahul,29,India,86,86,30,91,89,80,74,29,32,42,15
Aaron Finch,35,Australia,85,84,40,88,89,80,64,31,34,91,48
Rohit Sharma,34,India,85,83,45,87,86,80,60,35,38,95,59
Eoin Morgan,35,England,82,81,37,84,82,80,66,29,32,85,38
Dwayne Bravo,38,West Indies,92,77,85,77,76,80,70,81,88,77,99
Elton Chigumbura,35,Zimbabwe,80,76,57,75,74,80,64,57,63,59,27
Josh Clarkson,25,New Zealand,79,78,36,75,80,80,69,34,37,70,7
Shivam Dube,28,India,81,73,67,68,72,80,52,64,68,98,41
Dominic Drakes,24,West Indies,80,67,71,51,72,80,39,70,74,96,38
Jamie Overton,27,England,77,68,66,49,71,80,80,65,70,32,85
Obed McCoy,25,West Indies,83,55,80,33,55,80,16,76,83,80,84
David Warner,35,Australia,86,85,39,90,90,79,70,29,32,77,66
Jonny Bairstow,32,England,84,83,31,85,86,79,82,29,31,19,52
Alex Hales,33,England,83,83,30,84,89,79,66,29,32,22,31
Kusal Mendis,27,Sri Lanka,82,81,35,83,84,79,65,29,32,42,68
Asghar Afghan,34,Afghanistan,77,76,39,78,75,79,46,30,32,77,64
Moeen Ali,34,England,88,78,77,77,83,79,52,74,78,65,97
Brandon King,27,West Indies,76,75,31,74,77,79,49,29,31,59,13
Sam Curran,23,England,91,74,85,70,78,79,47,79,86,99,86
Dwaine Pretorius,32,South Africa,82,73,69,69,75,79,44,71,76,57,40
David Wiese,36,Namibia,87,74,78,68,76,79,59,71,76,99,95
Parvez Hossain Emon,19,Bangladesh,72,71,27,68,71,79,40,28,30,25,10
Doug Bracewell,31,New Zealand,85,74,74,67,75,79,69,71,75,79,77
Ripal Patel,26,India,72,71,37,63,74,79,54,33,32,52,56
Chris Morris,34,South Africa,87,72,80,62,74,79,73,78,82,63,96
Don Radebe,25,South Africa,69,60,60,40,65,79,20,57,57,82,64
Mitchell Marsh,30,Australia,89,82,73,88,83,78,66,64,71,96,96
Suresh Raina,35,India,86,84,53,88,88,78,74,46,49,97,50
Shreyas Iyer,27,India,83,82,31,88,84,78,63,30,32,34,27
Quinton de Kock,29,South Africa,85,84,35,87,88,78,82,29,32,65,38
Jason Roy,31,England,83,82,39,83,88,78,64,29,32,75,71
Paul Stirling,31,Ireland,84,80,57,81,86,78,44,54,58,25,94
Tim Seifert,27,New Zealand,80,79,33,80,80,78,79,29,32,72,13
James Neesham,31,New Zealand,89,77,80,75,79,78,60,75,83,67,99
Mitchell Santner,30,New Zealand,91,74,85,72,74,78,61,82,85,84,98
Dan Christian,38,Australia,84,75,71,72,76,78,71,71,75,93,30
George Munsey,28,Scotland,77,76,38,72,82,78,51,29,31,74,69
Abhinav Manohar,27,India,74,74,24,70,75,78,67,27,28,9,14
Gulbadin Naib,30,Afghanistan,83,73,71,69,74,78,60,65,72,87,72
Shahid Afridi,41,Pakistan,84,71,75,61,74,78,55,76,75,95,54
Keemo Paul,23,West Indies,77,65,68,59,60,78,48,55,84,60,60
Ziaur Rahman,35,Bangladesh,69,65,48,55,64,78,49,47,50,23,71
Rahkeem Cornwall,29,West Indies,72,64,60,52,68,78,20,59,57,93,38
Amad Butt,26,Pakistan,80,65,72,50,66,78,56,71,77,48,84
Umar Akmal,31,Pakistan,83,82,34,86,84,77,81,29,32,32,66
Ben Stokes,30,England,88,79,75,81,82,77,67,68,74,99,86
Ishan Kishan,23,India,79,78,36,79,81,77,65,29,31,67,56
Kevin O'Brien,37,Ireland,84,77,66,77,79,77,59,58,65,72,93
Darren Bravo,33,West Indies,75,74,29,77,72,77,49,28,31,15,41
Muditha Lakshan,21,Sri Lanka,77,77,27,76,82,77,45,30,30,15,16
Ricky Bhui,25,India,73,73,25,74,74,77,42,28,30,5,11
Nitish Rana,28,India,77,74,51,73,78,77,40,44,46,87,59
Will Jacks,23,England,78,76,46,72,83,77,54,48,50,25,40
Muhammad Waseem,28,United Arab Emirates,77,75,45,70,77,77,72,44,54,38,15
Karl Birkenstock,25,Namibia,76,75,38,69,82,77,46,40,37,20,48
Ross Whiteley,33,England,73,72,31,67,74,77,63,29,31,40,28
Ed Pollock,26,England,71,70,26,61,76,77,40,28,30,22,6
Jofra Archer,26,England,87,70,80,60,74,77,59,81,87,85,43
Shahrukh Khan,26,India,68,67,34,57,67,77,60,31,32,46,45
Akeal Hosein,28,West Indies,81,63,75,54,60,77,40,77,76,46,88
Vishal Kushwah,31,India,70,66,50,51,66,77,70,47,52,84,21
Mashrafe Mortaza,38,Bangladesh,84,62,79,49,62,77,37,76,77,75,98
Gareth Dukes,29,South Africa,78,66,69,48,70,77,68,67,61,94,88
Dasun Senevirathna,24,Sri Lanka,63,61,34,46,60,77,46,34,36,5,54
Yudhvir Singh,24,India,64,59,51,35,58,77,80,55,47,23,74
Matthew Fisher,24,England,77,55,72,33,52,77,41,71,76,50,86
Daryl Mitchell,30,New Zealand,85,81,59,85,82,76,78,51,60,95,52
Lendl Simmons,37,West Indies,79,77,41,82,78,76,52,33,37,79,50
Heinrich Klaasen,30,South Africa,81,80,35,82,81,76,90,30,32,42,63
Mohammad Nawaz,27,Pakistan,87,75,77,74,75,76,68,81,75,72,70
Shamim Hossain,21,Bangladesh,76,74,39,71,75,76,77,42,46,20,15
Bhanuka Rajapaksa,30,Sri Lanka,75,74,37,71,77,76,51,37,42,22,30
Sharjeel Khan,32,Pakistan,74,73,31,70,78,76,37,28,31,61,8
Isuru Udana,34,Sri Lanka,86,66,80,57,64,76,59,75,80,99,84
Lockie Ferguson,30,New Zealand,80,60,74,46,58,76,44,77,80,44,71
Ollie Hairs,30,Scotland,61,60,26,45,60,76,36,29,31,10,8
Rassie van der Dussen,33,South Africa,79,79,27,85,81,75,56,30,32,13,11
Travis Head,28,Australia,82,79,54,84,81,75,60,49,54,48,81
Fakhar Zaman,31,Pakistan,81,80,34,84,86,75,64,32,34,42,38
Charith Asalanka,24,Sri Lanka,82,78,55,83,81,75,51,50,56,75,47
Sanju Samson,27,India,80,79,29,82,81,75,78,29,32,15,31
Andre Fletcher,34,West Indies,78,77,29,81,77,75,70,30,32,19,21
Tom Bruce,30,New Zealand,79,78,36,77,82,75,84,32,34,46,52
Ashton Turner,29,Australia,77,75,40,76,77,75,63,42,46,32,18
Joe Clarke,25,England,77,77,25,76,84,75,58,28,30,6,7
Deepak Hooda,26,India,76,74,39,72,76,75,71,42,42,36,22
Marco Marais,28,South Africa,74,73,29,72,78,75,40,28,30,50,4
Richard Levi,34,South Africa,74,74,26,72,80,75,42,28,30,23,6
Abhishek Sharma,21,India,77,73,52,70,76,75,53,54,57,13,64
Kamau Leverock,27,Bermuda,76,67,64,63,65,75,45,65,68,63,43
Rakep Patel,32,Kenya,73,70,47,62,73,75,68,51,56,20,21
Anukul Roy,23,India,81,68,72,59,67,75,75,71,65,87,85
Chanaka Ruwansiri,32,Sri Lanka,72,67,53,57,67,75,64,61,57,22,31
Dillon Heyliger,32,Canada,82,66,75,56,69,75,44,73,74,95,69
Robbie Frylinck,37,South Africa,76,65,67,54,68,75,49,67,67,61,72
Ishan Jayaratne,32,Sri Lanka,73,65,62,53,67,75,50,65,65,72,28
Dan Douthwaite,25,England,75,62,67,52,60,75,35,60,62,83,94
Oliver Davies,21,Australia,65,64,26,52,63,75,71,28,28,4,36
Naseem Khushi,39,Oman,64,63,32,50,63,75,57,28,30,70,14
Ravishka Wijesiri,22,Sri Lanka,67,61,55,47,60,75,48,62,54,44,41
Harshal Patel,31,India,82,62,77,46,67,75,33,72,75,98,88
Nathan Coulter-Nile,34,Australia,84,60,79,45,60,75,49,75,78,100,78
Anuk de Alwis,30,Sri Lanka,71,61,62,44,61,75,65,57,54,93,82
M Mohammed,30,India,71,61,62,39,64,75,70,65,62,57,57
Dheeraj Kumar,22,India,58,57,23,39,56,75,39,27,28,4,6
Sheldon Cottrell,32,West Indies,88,56,85,37,53,75,52,79,85,100,94
Sachidanand Pandey,25,India,59,49,53,23,45,75,39,62,58,23,30
Virat Kohli,33,India,84,83,41,92,88,74,70,34,36,59,66
Marcus Stoinis,32,Australia,85,79,67,85,84,74,51,58,66,92,84
Janneman Malan,25,South Africa,79,79,28,82,84,74,70,29,31,28,14
Afif Hossain,22,Bangladesh,79,75,55,76,77,74,58,52,58,48,61
Johnson Charles,33,West Indies,76,75,38,76,78,74,52,29,32,79,57
Will Smeed,20,England,76,76,25,75,79,74,71,28,30,4,10
Prithvi Shaw,22,India,75,74,28,72,81,74,43,28,31,6,36
Aasif Sheikh,21,Nepal,74,73,28,70,73,74,75,28,30,28,24
Tom Moores,25,England,72,72,25,68,73,74,81,28,30,6,8
Anuj Rawat,22,India,72,71,28,67,69,74,76,28,30,17,33
Mahedi Hasan,27,Bangladesh,76,67,66,65,67,74,39,62,68,96,47
Jurie Snyman,26,South Africa,72,69,46,65,69,74,52,47,46,38,52
Lahiru Samarakoon,24,Sri Lanka,80,72,65,64,79,74,65,65,71,72,38
JJ Smit,26,Namibia,83,61,78,55,55,74,46,78,81,50,97
Jason Kila,32,Papua New Guinea,69,59,61,45,58,74,53,59,50,82,93
Mitchell Hay,21,New Zealand,61,60,29,43,58,74,83,27,28,30,36
Jaskaran Singh,32,India,71,57,64,41,58,74,33,63,56,87,75
Pritom Kumar,20,Bangladesh,59,58,26,40,55,74,79,28,28,17,15
Bhagmender Lather,24,India,64,55,57,34,58,74,29,65,62,19,40
Josh Philippe,24,Australia,83,82,31,87,87,73,87,29,32,23,47
Ben McDermott,27,Australia,75,74,27,79,70,73,68,29,31,19,11
Tilak Varma,19,India,77,76,31,78,81,73,50,33,33,25,20
Haider Ali,21,Pakistan,74,73,30,78,74,73,42,29,32,30,25
Tom Kohler-Cadmore,27,England,77,76,28,77,80,73,74,28,30,27,24
Prabhsimran Singh,21,India,75,74,27,74,77,73,71,28,30,5,30
Riyan Parag,20,India,80,72,67,72,73,73,57,63,62,91,75
Ravinderpal Singh,33,Canada,76,75,30,72,77,73,87,28,28,34,43
Axar Patel,28,India,90,72,84,71,72,73,65,82,83,82,99
Hamish Rutherford,32,New Zealand,74,73,32,71,79,73,45,29,31,70,8
Krunal Pandya,30,India,82,72,72,70,76,73,59,78,79,48,48
Vishnu Vinod,28,India,72,72,26,70,75,73,59,28,30,19,13
Rahul Tewatia,28,India,82,71,72,67,75,73,63,69,68,93,82
Arjit Pannu,25,India,68,67,25,64,67,73,51,27,28,16,11
Neil Rock,21,Ireland,68,67,30,62,63,73,76,29,31,16,48
Anwar Ali,34,Pakistan,81,66,73,57,67,73,67,71,73,61,97
Masum Khan,34,Bangladesh,71,67,49,56,72,73,67,58,50,28,27
Rajjakuddin Ahmed,26,India,73,66,59,55,67,73,82,65,65,32,34
Abu Hider,26,Bangladesh,81,62,75,54,59,73,55,74,79,76,65
Jaydev Unadkat,30,India,83,61,78,49,62,73,51,77,82,98,50
Arjit Gupta,32,India,60,59,29,48,58,73,40,30,31,11,33
Ruben Trumpelmann,24,Namibia,83,56,79,42,55,73,23,77,78,72,95
Jacob Duffy,27,New Zealand,77,57,72,41,57,73,43,72,77,34,89
Rishad Hossain,19,Bangladesh,71,59,64,40,59,73,80,66,67,32,78
Jay Gohil,21,India,54,53,27,32,49,73,60,27,28,19,28
Shoaib Malik,40,Pakistan,86,81,65,91,84,72,67,61,63,94,64
Mark Chapman,27,New Zealand,80,77,48,83,82,72,55,42,47,91,31
Harry Brook,22,England,80,79,30,82,84,72,84,29,32,22,38
Matthew Wade,34,Australia,79,78,34,81,82,72,84,29,31,87,13
Josh Inglis,26,Australia,81,80,32,81,86,72,88,28,31,38,41
Devdutt Padikkal,21,India,78,78,28,81,83,72,69,28,31,34,6
Rilee Rossouw,32,South Africa,78,77,37,80,83,72,65,29,32,83,43
Iftikhar Ahmed,31,Pakistan,79,75,54,78,76,72,69,52,53,34,81
Kusal Perera,31,Sri Lanka,77,76,31,78,80,72,72,29,31,52,15
Cam Fletcher,28,New Zealand,76,76,27,78,76,72,91,28,30,28,12
Will Young,29,New Zealand,75,75,27,77,78,72,68,28,30,20,21
Ravindra Jadeja,33,India,89,74,81,76,76,72,66,78,82,79,89
Nurul Hasan,28,Bangladesh,76,75,36,76,74,72,88,29,32,84,36
Gerhard Erasmus,26,Namibia,75,73,45,75,73,72,69,41,45,70,40
Phil Salt,25,England,78,77,28,75,84,72,74,28,31,28,17
Donavon Ferreira,23,South Africa,79,75,54,74,82,72,56,54,54,84,22
Sohaib Maqsood,34,Pakistan,74,73,32,74,77,72,41,30,32,25,43
Dewald Brevis,18,South Africa,80,74,60,73,77,72,68,60,56,59,74
Suyash Prabhudessai,24,India,76,75,35,72,78,72,86,41,38,7,31
Cameron Delport,32,South Africa,75,72,46,71,78,72,50,45,47,83,12
Tom Lammonby,21,England,73,70,48,64,76,72,60,41,46,68,66
George Linde,30,South Africa,84,67,77,63,67,72,58,76,79,54,98
Sohail Tanvir,37,Pakistan,73,64,64,60,64,72,38,51,71,54,94
Jhye Richardson,25,Australia,83,65,76,58,64,72,56,81,88,36,50
Michael Leask,31,Scotland,69,63,56,54,63,72,63,59,63,22,48
Kennar Lewis,30,West Indies,64,63,24,54,63,72,60,27,28,20,4
Supun Madushanka,28,Sri Lanka,67,64,45,52,70,72,53,50,52,28,12
Tharindu Ratnayake,25,Sri Lanka,78,60,72,48,60,72,47,74,70,97,45
Sharafuddin Ashraf,27,Afghanistan,68,60,58,48,58,72,55,63,61,36,45
Tyrone Kane,27,Ireland,73,60,66,47,63,72,44,65,72,59,52
Dan Moriarty,23,England,75,53,71,31,57,72,31,71,71,63,78
Kyle Jacobs,23,South Africa,68,51,63,25,55,72,26,67,58,28,97
Prem Sisodiya,23,England,75,48,72,18,54,72,14,69,65,83,97
Tamim Iqbal,32,Bangladesh,78,77,32,86,81,71,47,29,32,32,47
Tom Latham,29,New Zealand,79,78,36,83,82,71,77,28,31,63,59
Sabbir Rahman,30,Bangladesh,78,77,36,83,77,71,74,37,41,23,28
Sam Billings,30,England,80,79,29,83,82,71,85,29,32,13,34
Farhaan Behardien,38,South Africa,77,76,29,81,77,71,73,30,32,19,21
Danushka Gunathilaka,30,Sri Lanka,79,76,51,80,81,71,55,49,53,61,40
Suryakumar Yadav,31,India,78,77,31,78,83,71,72,30,32,27,33
Soumya Sarkar,28,Bangladesh,76,72,51,74,73,71,60,46,52,34,86
Josh Cobb,31,England,79,72,63,71,75,71,65,59,58,90,69
Kushal Malla,17,Nepal,78,67,68,69,62,71,54,70,68,74,54
Sanjay Yadav,26,India,73,69,52,68,67,71,81,60,54,40,22
Ali Imran,23,Pakistan,72,71,29,68,75,71,68,33,36,5,11
Harsh Tyagi,22,India,78,67,69,64,70,71,40,71,66,48,95
Akbar Ali,20,Bangladesh,69,68,27,64,67,71,86,28,30,13,21
Qasim Akram,19,Pakistan,76,69,60,61,77,71,64,57,62,87,38
Scott Kuggeleijn,30,New Zealand,86,66,80,60,65,71,69,76,82,95,71
James Fuller,32,England,71,66,53,58,67,71,73,57,61,22,38
Beyers Swanepoel,23,South Africa,74,69,56,57,76,71,89,61,50,75,40
Kuldeep Gehi,27,India,66,65,25,56,68,71,51,27,28,9,17
Wahab Riaz,36,Pakistan,85,64,80,55,65,71,55,79,84,68,82
George Garton,24,England,82,63,76,54,66,71,50,73,79,98,56
Antonius Staal,25,Netherlands,61,60,28,54,59,71,32,28,30,34,17
Manzoor Dar,28,India,67,64,43,53,68,71,51,42,42,54,38
Ben Wheeler,30,New Zealand,76,60,70,50,60,71,52,66,66,98,78
Allan Douglas,34,Bermuda,65,61,45,50,62,71,54,46,52,28,31
Andrew Tye,35,Australia,87,58,84,46,57,71,51,78,85,100,89
Ramandeep Singh,24,India,61,59,39,45,60,71,59,41,41,6,54
James Weighell,28,England,70,58,63,42,55,71,71,61,61,96,45
Sujon Hawlader,26,Bangladesh,72,58,65,41,61,71,41,58,58,93,94
Vikash Singh,27,India,74,53,69,37,51,71,44,68,65,96,59
Shiran Fernando,28,Sri Lanka,75,55,70,35,55,71,65,66,68,77,86
Mohammad Rizwan,29,Pakistan,82,81,34,90,85,70,88,29,32,67,24
Manish Pandey,32,India,80,79,32,88,82,70,75,30,33,34,30
Ahmed Shehzad,30,Pakistan,79,78,37,86,83,70,57,32,34,83,21
Aiden Markram,27,South Africa,80,78,47,85,82,70,70,48,49,40,40
Litton Das,27,Bangladesh,77,76,37,80,80,70,77,29,32,83,45
Mohammad Shahzad,35,Afghanistan,74,73,33,78,71,70,74,28,31,79,12
Dan Lawrence,24,England,78,75,47,77,81,70,60,49,53,40,21
Kushal Bhurtel,25,Nepal,75,75,26,76,79,70,84,28,28,25,12
Lorcan Tucker,25,Ireland,74,73,35,73,73,70,89,29,32,65,45
Rinku Singh,24,India,73,72,32,71,75,70,76,30,32,61,7
Lalit Yadav,25,India,82,73,70,70,77,70,78,70,67,89,61
Tom Curran,26,England,90,71,85,69,76,70,58,80,88,99,81
Roelof van der Merwe,37,Netherlands,85,71,76,69,74,70,65,70,74,100,86
Lewis Gregory,29,England,85,71,76,69,76,70,69,69,76,87,91
Najibullah Zadran,28,Afghanistan,69,68,36,69,65,70,59,30,32,46,63
Evan Jones,25,South Africa,74,72,44,68,77,70,86,41,43,42,59
Shane Dadswell,24,South Africa,73,72,29,68,79,70,62,34,32,16,14
Munim Shahriar,23,Bangladesh,69,69,25,67,76,70,26,28,28,11,18
Wayne Parnell,32,South Africa,90,68,86,66,71,70,45,81,85,97,99
Himmat Singh,25,India,69,68,29,66,69,70,57,28,31,19,34
Manisankar  Murasingh,29,India,73,65,62,60,66,70,44,69,65,28,57
Arron Lilley,30,England,76,69,60,60,75,70,75,62,60,87,20
Kyle Mayers,29,West Indies,68,63,50,60,60,70,45,46,47,50,75
Chris Jordan,33,England,87,65,82,59,64,70,74,80,87,48,99
Mohammad Saifuddin,25,Bangladesh,75,64,66,59,64,70,42,61,66,52,99
Mahidul Islam Ankon,22,Bangladesh,65,64,30,59,58,70,86,28,30,42,28
Ross Adair,27,Ireland,72,68,48,58,75,70,77,49,46,63,36
Sajjadul Haque,32,Bangladesh,63,62,27,56,63,70,35,27,27,44,10
Nimesh Perera - jnr,40,Sri Lanka,72,64,61,55,66,70,63,58,57,92,56
Nabi Gul,24,Pakistan,65,64,29,55,65,70,74,30,30,42,7
Aamer Yamin,31,Pakistan,73,63,64,53,67,70,50,66,66,67,40
Prenelan Subrayen,28,South Africa,81,58,76,49,56,70,45,74,71,95,89
Mubasir Khan,19,Pakistan,62,58,46,48,56,70,45,51,50,17,40
Alauddin Babu,30,Bangladesh,65,59,53,47,58,70,57,57,58,48,22
Kashif Daud,36,United Arab Emirates,74,60,67,41,64,70,73,65,61,91,75
Will Prestwidge,20,Australia,75,51,71,39,47,70,16,63,71,87,86
Umaid Asif,37,Pakistan,72,56,66,38,59,70,51,65,62,65,91
Kaleemullah,31,Oman,75,49,72,29,48,70,28,69,62,98,95
Babar Azam,27,Pakistan,83,82,34,93,87,69,75,30,33,30,61
Kane Williamson,31,New Zealand,82,81,37,89,84,69,90,40,43,19,18
Mushfiqur Rahim,34,Bangladesh,80,79,36,87,81,69,87,29,32,84,27
Hussain Talat,26,Pakistan,82,77,62,86,81,69,48,53,61,95,72
Shikhar Dhawan,36,India,79,78,34,86,83,69,59,30,32,68,28
Dawid Malan,34,England,79,77,45,84,82,69,58,36,40,89,54
James Vince,30,England,79,78,29,83,84,69,71,30,32,27,18
Ben Cooper,30,Netherlands,76,75,33,78,78,69,78,28,31,59,31
Zak Crawley,24,England,77,76,31,78,85,69,58,28,30,54,24
Dinesh Karthik,36,India,76,76,27,78,80,69,86,28,31,13,18
Mohammad Mithun,30,Bangladesh,73,72,29,77,72,69,66,29,31,16,34
Yasir Ali,25,Bangladesh,74,73,27,76,74,69,69,28,30,23,11
Tony Ura,32,Papua New Guinea,73,72,34,75,77,69,44,29,31,50,52
Anamul Haque,29,Bangladesh,73,72,31,75,73,69,70,28,31,63,13
Curtis Campher,22,Ireland,85,71,77,74,73,69,63,72,79,96,66
Jeevan Mendis,39,Sri Lanka,81,71,70,74,72,69,53,69,74,80,45
Adam Hose,29,England,73,73,25,72,79,69,67,28,30,10,6
Shivam Bhambri,26,India,71,70,28,70,74,69,62,27,28,40,17
Ashton Agar,28,Australia,90,68,86,68,66,69,73,81,85,100,98
Christiaan Jonker,35,South Africa,69,68,31,67,70,69,56,29,31,54,15
Mark Adair,25,Ireland,78,65,69,61,63,69,66,67,75,40,83
Chandrapaul Hemraj,28,West Indies,67,64,44,61,64,69,38,51,47,16,30
Jehan Daniel,22,Sri Lanka,68,66,41,61,69,69,63,46,45,30,16
Clayton Bosch,29,South Africa,74,68,58,60,75,69,65,61,53,94,27
Hamza Tariq,31,Canada,68,67,30,60,68,69,86,28,30,61,9
Nimanda Madushanka,29,Sri Lanka,80,61,74,51,64,69,44,69,73,90,78
Ben White,23,Ireland,78,59,72,49,62,69,35,76,80,27,71
Mohammad Enamul,35,Bangladesh,62,58,46,47,55,69,55,54,47,38,20
John Matchett,24,Ireland,56,55,32,47,52,69,30,37,31,15,36
Matthew Carter,25,England,77,55,73,39,54,69,61,74,75,89,41
Sohail Khan,37,Pakistan,69,53,64,38,52,69,31,67,66,70,33
Vivekanand Tiwari,23,India,69,56,63,37,57,69,68,61,63,90,48
Shoriful Islam,20,Bangladesh,82,51,79,35,48,69,34,76,79,79,91
Joshua De Caires,19,England,57,56,26,35,60,69,60,27,28,28,15
Umesh Yadav,34,India,77,50,74,31,49,69,35,70,71,94,84
Mohammad Naim,22,Bangladesh,76,75,30,84,75,68,63,29,32,16,38
Alex Carey,30,Australia,78,77,32,83,81,68,87,29,31,17,63
Mahmudullah,36,Bangladesh,83,74,71,82,75,68,67,69,73,75,71
Ruturaj Gaikwad,25,India,76,76,25,81,81,68,64,28,30,7,9
Harry Tector,22,Ireland,76,74,44,80,76,68,75,43,47,44,34
Mahipal Lomror,22,India,79,73,60,78,74,68,62,55,52,91,83
Venkatesh Iyer,27,India,82,74,68,77,79,68,67,63,62,89,90
Najmul Hossain Shanto,23,Bangladesh,75,73,39,77,75,68,65,34,36,52,59
Jack Leaning,28,England,74,73,34,76,75,68,77,34,36,19,43
Tadiwanashe Marumani,20,Zimbabwe,72,71,29,76,77,68,29,28,31,30,28
Manan Vohra,28,India,73,72,28,76,77,68,50,28,30,25,22
Ryan Burl,27,Zimbabwe,81,71,69,75,70,68,71,66,70,50,98
Ryan ten Doeschate,41,Netherlands,74,72,44,75,74,68,65,41,43,61,45
Jake Weatherald,27,Australia,72,71,31,72,75,68,55,28,30,65,11
Apoorv Wankhade,29,India,71,71,24,72,70,68,86,28,28,6,12
Washington Sundar,22,India,91,69,86,71,71,68,53,83,85,95,89
